total_mem_mb,shared_buffers_mb,work_mem_mb,workload,query,run,elapsed_ms,blks_hit,blks_read,miss_rate_pct,source
1536,384,48,tpch,Q1_AGG,1,57914.543,340,1124628,99.9698,results_large_20260504_095821
1536,384,48,tpch,Q1_AGG,2,58309.581,458,1124510,99.9593,results_large_20260504_095821
1536,384,48,tpch,Q1_AGG,3,58317.691,490,1124478,99.9564,results_large_20260504_095821
1536,384,48,tpch,Q4_EXISTS,1,75221.016,666,1385374,99.9519,results_large_20260504_095821
1536,384,48,tpch,Q4_EXISTS,2,74695.553,672,1385291,99.9515,results_large_20260504_095821
1536,384,48,tpch,Q4_EXISTS,3,74783.807,736,1385227,99.9469,results_large_20260504_095821
1536,384,48,tpch,Q6_SCAN,1,57826.681,729,1124352,99.9352,results_large_20260504_095821
1536,384,48,tpch,Q6_SCAN,2,58314.453,764,1124317,99.9321,results_large_20260504_095821
1536,384,48,tpch,Q6_SCAN,3,58304.631,796,1124285,99.9292,results_large_20260504_095821
2048,512,64,tpcc,TPCC_CUST_FULLSORT,1,13288.168,379,233863,99.8382,results_large_20260504_095821
2048,512,64,tpcc,TPCC_CUST_FULLSORT,2,13458.963,500,233819,99.7866,results_large_20260504_095821
2048,512,64,tpcc,TPCC_CUST_FULLSORT,3,13431.008,455,233787,99.8058,results_large_20260504_095821
2048,512,64,tpcc,TPCC_OL_SORT,1,21888.537,619,418805,99.8524,results_large_20260504_095821
2048,512,64,tpcc,TPCC_OL_SORT,2,21726.191,733,418768,99.8253,results_large_20260504_095821
2048,512,64,tpcc,TPCC_OL_SORT,3,21713.782,688,418736,99.836,results_large_20260504_095821
2048,512,64,tpcc,TPCC_STOCK_SCAN,1,22231.142,225,440598,99.949,results_large_20260504_095821
2048,512,64,tpcc,TPCC_STOCK_SCAN,2,22833.492,412,440488,99.9066,results_large_20260504_095821
2048,512,64,tpcc,TPCC_STOCK_SCAN,3,22851.41,367,440456,99.9167,results_large_20260504_095821
2048,512,64,tpcc,TPCC_WH_SUMMARY,1,21722.818,293,418907,99.9301,results_large_20260504_095821
2048,512,64,tpcc,TPCC_WH_SUMMARY,2,21723.521,413,418864,99.9015,results_large_20260504_095821
2048,512,64,tpcc,TPCC_WH_SUMMARY,3,21724.507,368,418832,99.9122,results_large_20260504_095821
2048,512,64,tpch,Q12_JOIN,1,74079.869,24119,1426169,98.337,results_large_20260504_095821
2048,512,64,tpch,Q12_JOIN,2,73916.124,23833,1426532,98.3568,results_large_20260504_095821
2048,512,64,tpch,Q12_JOIN,3,73941.761,23774,1426514,98.3607,results_large_20260504_095821
2048,512,64,tpch,Q13_HASHJOIN,1,17257.339,57166,240065,80.7671,results_large_20260504_095821
2048,512,64,tpch,Q13_HASHJOIN,2,16965.124,57281,239950,80.7285,results_large_20260504_095821
2048,512,64,tpch,Q13_HASHJOIN,3,17054.263,57416,239892,80.688,results_large_20260504_095821
2048,512,64,tpch,Q18_LARGE_VOL,1,87640.901,57880,2488895,97.7273,results_large_20260504_095821
2048,512,64,tpch,Q18_LARGE_VOL,2,87343.371,58175,2488677,97.7158,results_large_20260504_095821
2048,512,64,tpch,Q18_LARGE_VOL,3,88359.191,58290,2488485,97.7112,results_large_20260504_095821
2048,512,64,tpch,Q1_AGG,1,57916.871,340,1124628,99.9698,results_large_20260504_095821
2048,512,64,tpch,Q1_AGG,2,58304.459,458,1124510,99.9593,results_large_20260504_095821
2048,512,64,tpch,Q1_AGG,3,58317.448,490,1124478,99.9564,results_large_20260504_095821
2048,512,64,tpch,Q4_EXISTS,1,75303.625,666,1385374,99.9519,results_large_20260504_095821
2048,512,64,tpch,Q4_EXISTS,2,74903.829,672,1385291,99.9515,results_large_20260504_095821
2048,512,64,tpch,Q4_EXISTS,3,74950.257,736,1385227,99.9469,results_large_20260504_095821
2048,512,64,tpch,Q6_SCAN,1,57829.749,729,1124352,99.9352,results_large_20260504_095821
2048,512,64,tpch,Q6_SCAN,2,58301.053,764,1124317,99.9321,results_large_20260504_095821
2048,512,64,tpch,Q6_SCAN,3,58306.259,796,1124285,99.9292,results_large_20260504_095821
3072,768,96,tpcc,TPCC_CUST_FULLSORT,1,13315.408,456,233863,99.8054,results_large_20260504_095821
3072,768,96,tpcc,TPCC_CUST_FULLSORT,2,13463.971,423,233819,99.8194,results_large_20260504_095821
3072,768,96,tpcc,TPCC_CUST_FULLSORT,3,13475.491,455,233787,99.8058,results_large_20260504_095821
3072,768,96,tpcc,TPCC_OL_SORT,1,21876.461,696,418805,99.8341,results_large_20260504_095821
3072,768,96,tpcc,TPCC_OL_SORT,2,21691.648,656,418768,99.8436,results_large_20260504_095821
3072,768,96,tpcc,TPCC_OL_SORT,3,21690.794,688,418736,99.836,results_large_20260504_095821
3072,768,96,tpcc,TPCC_STOCK_SCAN,1,22234.634,225,440598,99.949,results_large_20260504_095821
3072,768,96,tpcc,TPCC_STOCK_SCAN,2,22824.159,412,440488,99.9066,results_large_20260504_095821
3072,768,96,tpcc,TPCC_STOCK_SCAN,3,22842.915,367,440456,99.9167,results_large_20260504_095821
3072,768,96,tpcc,TPCC_WH_SUMMARY,1,21698.75,370,418907,99.9118,results_large_20260504_095821
3072,768,96,tpcc,TPCC_WH_SUMMARY,2,21721.528,336,418864,99.9198,results_large_20260504_095821
3072,768,96,tpcc,TPCC_WH_SUMMARY,3,21713.369,368,418832,99.9122,results_large_20260504_095821
3072,768,96,tpch,Q12_JOIN,1,74078.724,24119,1426169,98.337,results_large_20260504_095821
3072,768,96,tpch,Q12_JOIN,2,73913.736,23859,1426506,98.355,results_large_20260504_095821
3072,768,96,tpch,Q12_JOIN,3,73912.85,23774,1426514,98.3607,results_large_20260504_095821
3072,768,96,tpch,Q13_HASHJOIN,1,14165.047,85706,211528,71.1655,results_large_20260504_095821
3072,768,96,tpch,Q13_HASHJOIN,2,13873.807,85821,211413,71.1268,results_large_20260504_095821
3072,768,96,tpch,Q13_HASHJOIN,3,13882.958,85885,211349,71.1053,results_large_20260504_095821
3072,768,96,tpch,Q18_LARGE_VOL,1,76611.613,86488,2460364,96.6041,results_large_20260504_095821
3072,768,96,tpch,Q18_LARGE_VOL,2,76531.793,86635,2460140,96.5982,results_large_20260504_095821
3072,768,96,tpch,Q18_LARGE_VOL,3,76412.801,86827,2459948,96.5907,results_large_20260504_095821
3072,768,96,tpch,Q1_AGG,1,57912.627,340,1124628,99.9698,results_large_20260504_095821
3072,768,96,tpch,Q1_AGG,2,58301.805,458,1124510,99.9593,results_large_20260504_095821
3072,768,96,tpch,Q1_AGG,3,58314.887,490,1124478,99.9564,results_large_20260504_095821
3072,768,96,tpch,Q4_EXISTS,1,75359.538,666,1385374,99.9519,results_large_20260504_095821
3072,768,96,tpch,Q4_EXISTS,2,74935.219,672,1385291,99.9515,results_large_20260504_095821
3072,768,96,tpch,Q4_EXISTS,3,74859.994,736,1385227,99.9469,results_large_20260504_095821
3072,768,96,tpch,Q6_SCAN,1,57827.861,729,1124352,99.9352,results_large_20260504_095821
3072,768,96,tpch,Q6_SCAN,2,58301.903,764,1124317,99.9321,results_large_20260504_095821
3072,768,96,tpch,Q6_SCAN,3,58289.065,796,1124285,99.9292,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_CUST_FULLSORT,1,13330.199,456,233863,99.8054,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_CUST_FULLSORT,2,13513.29,423,233819,99.8194,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_CUST_FULLSORT,3,13508.122,455,233787,99.8058,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_OL_SORT,1,21864.251,696,418805,99.8341,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_OL_SORT,2,21691.669,656,418768,99.8436,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_OL_SORT,3,21693.827,688,418736,99.836,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_STOCK_SCAN,1,22231.999,225,440598,99.949,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_STOCK_SCAN,2,22815.305,412,440488,99.9066,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_STOCK_SCAN,3,22832.574,367,440456,99.9167,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_WH_SUMMARY,1,21709.906,370,418907,99.9118,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_WH_SUMMARY,2,21714.643,336,418864,99.9198,results_large_20260504_095821
4096,1024,128,tpcc,TPCC_WH_SUMMARY,3,21710.084,368,418832,99.9122,results_large_20260504_095821
4096,1024,128,tpch,Q12_JOIN,1,74068.603,24142,1426146,98.3354,results_large_20260504_095821
4096,1024,128,tpch,Q12_JOIN,2,73935.236,23930,1426435,98.3501,results_large_20260504_095821
4096,1024,128,tpch,Q12_JOIN,3,73930.119,23784,1426504,98.36,results_large_20260504_095821
4096,1024,128,tpch,Q13_HASHJOIN,1,13591.836,113862,183372,61.6928,results_large_20260504_095821
4096,1024,128,tpch,Q13_HASHJOIN,2,13406.148,113977,183257,61.6541,results_large_20260504_095821
4096,1024,128,tpch,Q13_HASHJOIN,3,13314.468,114041,183193,61.6326,results_large_20260504_095821
4096,1024,128,tpch,Q18_LARGE_VOL,1,75600.281,114641,2432208,95.4987,results_large_20260504_095821
4096,1024,128,tpch,Q18_LARGE_VOL,2,75706.611,114788,2431984,95.4928,results_large_20260504_095821
4096,1024,128,tpch,Q18_LARGE_VOL,3,75691.067,114980,2431792,95.4853,results_large_20260504_095821
4096,1024,128,tpch,Q1_AGG,1,57916.941,340,1124628,99.9698,results_large_20260504_095821
4096,1024,128,tpch,Q1_AGG,2,58299.407,458,1124510,99.9593,results_large_20260504_095821
4096,1024,128,tpch,Q1_AGG,3,58298.547,490,1124478,99.9564,results_large_20260504_095821
4096,1024,128,tpch,Q4_EXISTS,1,75611.897,666,1385374,99.9519,results_large_20260504_095821
4096,1024,128,tpch,Q4_EXISTS,2,75088.132,672,1385291,99.9515,results_large_20260504_095821
4096,1024,128,tpch,Q4_EXISTS,3,75069.409,736,1385227,99.9469,results_large_20260504_095821
4096,1024,128,tpch,Q6_SCAN,1,57830.474,729,1124352,99.9352,results_large_20260504_095821
4096,1024,128,tpch,Q6_SCAN,2,58298.623,764,1124317,99.9321,results_large_20260504_095821
4096,1024,128,tpch,Q6_SCAN,3,58297.461,796,1124285,99.9292,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_CUST_FULLSORT,1,13271.156,379,233863,99.8382,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_CUST_FULLSORT,2,13409.508,500,233819,99.7866,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_CUST_FULLSORT,3,13449.578,455,233787,99.8058,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_OL_SORT,1,21848.505,619,418805,99.8524,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_OL_SORT,2,21695.988,656,418768,99.8436,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_OL_SORT,3,21679.208,688,418736,99.836,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_STOCK_SCAN,1,22224.446,225,440598,99.949,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_STOCK_SCAN,2,22806.641,412,440488,99.9066,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_STOCK_SCAN,3,22812.474,367,440456,99.9167,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_WH_SUMMARY,1,21683.733,293,418907,99.9301,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_WH_SUMMARY,2,21692.634,413,418864,99.9015,results_large_20260504_095821
6144,1536,192,tpcc,TPCC_WH_SUMMARY,3,21684.852,368,418832,99.9122,results_large_20260504_095821
6144,1536,192,tpch,Q12_JOIN,1,74058.482,24142,1426146,98.3354,results_large_20260504_095821
6144,1536,192,tpch,Q12_JOIN,2,73916.591,36463,1413902,97.4859,results_large_20260504_095821
6144,1536,192,tpch,Q12_JOIN,3,73898.184,31820,1418468,97.806,results_large_20260504_095821
6144,1536,192,tpch,Q13_HASHJOIN,1,13415.117,140684,156550,52.6689,results_large_20260504_095821
6144,1536,192,tpch,Q13_HASHJOIN,2,11863.949,176574,120660,40.5943,results_large_20260504_095821
6144,1536,192,tpch,Q13_HASHJOIN,3,11972.738,176606,120628,40.5835,results_large_20260504_095821
6144,1536,192,tpch,Q18_LARGE_VOL,1,73458.484,177189,2369660,93.0428,results_large_20260504_095821
6144,1536,192,tpch,Q18_LARGE_VOL,2,73251.757,177288,2369484,93.0387,results_large_20260504_095821
6144,1536,192,tpch,Q18_LARGE_VOL,3,73427.774,177448,2369324,93.0324,results_large_20260504_095821
6144,1536,192,tpch,Q1_AGG,1,57911.705,340,1124628,99.9698,results_large_20260504_095821
6144,1536,192,tpch,Q1_AGG,2,58295.595,458,1124510,99.9593,results_large_20260504_095821
6144,1536,192,tpch,Q1_AGG,3,58302.469,490,1124478,99.9564,results_large_20260504_095821
6144,1536,192,tpch,Q4_EXISTS,1,75310.277,666,1385374,99.9519,results_large_20260504_095821
6144,1536,192,tpch,Q4_EXISTS,2,74972.942,672,1385291,99.9515,results_large_20260504_095821
6144,1536,192,tpch,Q4_EXISTS,3,74889.604,736,1385227,99.9469,results_large_20260504_095821
6144,1536,192,tpch,Q6_SCAN,1,57832.241,729,1124352,99.9352,results_large_20260504_095821
6144,1536,192,tpch,Q6_SCAN,2,58293.03,764,1124317,99.9321,results_large_20260504_095821
6144,1536,192,tpch,Q6_SCAN,3,58303.561,796,1124285,99.9292,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_CUST_FULLSORT,1,13190.386,379,233863,99.8382,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_CUST_FULLSORT,2,13337.869,500,233819,99.7866,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_CUST_FULLSORT,3,13350.082,455,233787,99.8058,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_OL_SORT,1,21844.311,619,418805,99.8524,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_OL_SORT,2,21664.829,733,418768,99.8253,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_OL_SORT,3,21661.246,688,418736,99.836,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_STOCK_SCAN,1,22231.418,225,440598,99.949,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_STOCK_SCAN,2,22779.091,335,440488,99.924,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_STOCK_SCAN,3,22790.894,444,440456,99.8993,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_WH_SUMMARY,1,21670.114,293,418907,99.9301,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_WH_SUMMARY,2,21676.208,413,418864,99.9015,results_large_20260504_095821
8192,2048,256,tpcc,TPCC_WH_SUMMARY,3,21679.648,368,418832,99.9122,results_large_20260504_095821
8192,2048,256,tpch,Q12_JOIN,1,74052.094,24142,1426146,98.3354,results_large_20260504_095821
8192,2048,256,tpch,Q12_JOIN,2,73890.929,43822,1406543,96.9786,results_large_20260504_095821
8192,2048,256,tpch,Q12_JOIN,3,73896.907,43647,1406641,96.9905,results_large_20260504_095821
8192,2048,256,tpch,Q13_HASHJOIN,1,12390.242,196642,100592,33.8427,results_large_20260504_095821
8192,2048,256,tpch,Q13_HASHJOIN,2,11203.883,232519,64715,21.7724,results_large_20260504_095821
8192,2048,256,tpch,Q13_HASHJOIN,3,11191.494,232551,64683,21.7616,results_large_20260504_095821
8192,2048,256,tpch,Q18_LARGE_VOL,1,70459.714,233147,2313702,90.8457,results_large_20260504_095821
8192,2048,256,tpch,Q18_LARGE_VOL,2,70497.352,233233,2313539,90.842,results_large_20260504_095821
8192,2048,256,tpch,Q18_LARGE_VOL,3,70448.613,233393,2313379,90.8357,results_large_20260504_095821
8192,2048,256,tpch,Q1_AGG,1,58014.904,340,1124628,99.9698,results_large_20260504_095821
8192,2048,256,tpch,Q1_AGG,2,58280.488,458,1124510,99.9593,results_large_20260504_095821
8192,2048,256,tpch,Q1_AGG,3,58316.479,490,1124478,99.9564,results_large_20260504_095821
8192,2048,256,tpch,Q4_EXISTS,1,75546.959,666,1385374,99.9519,results_large_20260504_095821
